티켓/공연/전시/스포츠,0.1,0.1,1593,881,712
수입명품,0.3,0.2,7074,3918,3156
브랜드 시계/쥬얼리,0.7,0.5,16338,9061,7277
브랜드 남성의류/언더웨어,1.4,0.4,24366,18279,6087
골프클럽/의류/용품,1.7,0.5,28448,21538,6910
시계/쥬얼리/액세서리,0.8,1.4,28621,10188,18433
브랜드 캐주얼의류,1.3,0.9,29379,16611,12768
브랜드 여성의류/언더웨어,0.4,2.1,33200,4612,28588
TV/냉장고/세탁기,1.6,1.0,34140,20398,13742
등산/아웃도어,1.9,0.8,34671,23683,10988
노트북/데스크탑,1.9,0.8,35186,24141,11045
블랙박스/내비/튜닝용품,2.4,0.5,37616,30390,7226
유아동의류/잡화,0.8,2.2,40123,9863,30260
DSLR/디카/액세서리,2.4,1.3,48161,30635,17526
언더웨어/잠옷/보정속옷,1.4,2.2,48331,17816,30515
자전거/스키/레저용품,2.9,0.8,48692,37305,11387
모니터/프린터/잉크,2.5,1.4,50658,31748,18910
여행/숙박/항공권,1.7,2.2,51663,21912,29751
음향/프로젝터/AV,2.7,1.3,52038,33991,18047
전기매트/가습기/난방가전,2.4,1.6,52751,30530,22221
여성화/남성화/스니커즈,1.6,2.5,53759,19928,33831
취미/악기/프라모델/꽃,2.4,1.7,54159,30983,23176
브랜드 신발/가방/잡화,2.1,2.6,61190,26500,34690
해외쇼핑,2.4,2.5,63877,30023,33854
남성의류/캐주얼의류,3.6,1.7,69951,46188,23763
스포츠의류/운동화/용품,3.3,2.2,71474,41675,29799
애완용품,2.1,3.5,75404,27199,48205
홈/인테리어/DIY,3.1,2.6,75498,39680,35818
캠핑/낚시,4.1,1.8,75901,52001,23900
침구/커튼/카페트,2.2,3.6,76792,28216,48576
문구/사무/용지/팬시,2.7,3.3,79831,34968,44863
기저귀/분유/유아식,2.2,4.1,83792,28339,55453
건강/비데/실버용품,3.2,3.2,84678,40884,43794
저장장치/태블릿/게임,5.0,1.6,85075,63775,21300
가방/패션잡화,3.3,3.5,89817,42076,47741
여성의류,0.9,5.9,92423,11972,80451
공구/산업용품/도어락,4.8,2.3,92948,61797,31151
가구/수납가구/학생가구,3.4,3.9,96327,43572,52755
건강식품/홍삼/다이어트,3.5,4.8,109861,44952,64909
물티슈/생리대/성인패드,2.5,5.8,110754,31311,79443
도서/음반/티켓,3.5,5.0,111741,44370,67371
장난감/인형/유아교육,3.4,5.1,112413,42884,69529
주방/수입주방,3.6,5.1,115530,45646,69884
PC부품/주변기기,7.0,2.3,120158,89019,31139
출산/유아용품/임부복,2.9,6.3,122958,37098,85860
자동차용품,7.8,2.1,128156,99816,28340
구기/수영/헬스/다이어트,5.7,4.1,129433,73123,56310
헤어/바디,3.9,6.0,132157,50236,81921
주방/이미용/생활가전,5.5,5.0,138578,69965,68613
라면/통조림/과자/조미료,5.1,5.7,143311,65774,77537
쌀/과일/농수축산물,5.3,6.2,151736,67157,84579
생활/수납/욕실/청소,5.5,6.5,157800,70132,87668
커피/차/생수/음료,5.8,6.8,166525,74565,91960
e쿠폰/상품권/이용권,5.6,7.4,172788,71733,101055
세제/세정/방향/제지,7.1,8.7,208149,90460,117689
화장품/향수/미용,6.8,13.8,274558,86985,187573
휴대폰/액세서리,14.4,9.1,306978,183839,123139
